"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137725","[TC_04_Gold_Loan] - Gold_Loan_Loan_Sanction_Page - tag@AED_Gold_Loan_Loan_Sanction_Tab","Google Chrome","2025-12-18","failed","2025-12-18","Gold_Loan_Application","Keyword_Driven\driverscript.spec.ts","",""
"","67829","[Loan_Application_Tab_Page.user_clicks_add_data_for_form_16] - Loan_Application_Tab_Page.user_click_on_add_a_line_in_form16 - Loan_Application_Tab_Page.user_enters_Name_in_form16,Rishabshetty","Google Chrome","2025-12-18","failed","2025-12-18","Loan_Application_Tab_Page.user_enter_employment_details,qwerty","Keyword_Driven\driverscript.spec.ts","",""
"","80807","[TC_05_Vehicle_Loan_Salaried_Guarantor_Details_Page] - Vehicle_Loan_Salaried_Guarantor_Details_Page - tag@GSGD_Vehicle_Loan_Salaried_Guarantor_Details_Page","Google Chrome","2025-12-18","failed","2025-12-18","Vehicle_Loan_Salaried_Guarantor_Details_Page","Keyword_Driven\driverscript.spec.ts","",""
"","97120","[TC_03_Gold_Loan] - Gold_Loan_Credit_Decisioning_Page - tag@Gold_Loan_Credit_Decisioning_Tab","Google Chrome","2025-12-18","failed","2025-12-18","Gold Loan Application","Keyword_Driven\driverscript.spec.ts","",""
"","72749","[TC_3] - Login_Page - tag @Loan_Sanction","Google Chrome","2025-12-18","failed","2025-12-18","Vehicle loan","Keyword_Driven\driverscript.spec.ts","",""
"","122995","[TC_5] - Login_Page - tag @Co_Borrower","Google Chrome","2025-12-18","failed","2025-12-18","Co_Borrower","Keyword_Driven\driverscript.spec.ts","",""
"","77073","[TC_02_Gold_Loan] - Gold_Loan_Loan_Application_Page - tag@XYZ_Gold_Loan_Application_Tab","Google Chrome","2025-12-18","failed","2025-12-18","Gold Loan Application","Keyword_Driven\driverscript.spec.ts","",""
"","63224","[CMS_Dashboard_Page.user_clicks_on_loan_request_btn] - CMS_Dashboard_Page.user_enter_applicant_number,7447585965 - CMS_Dashboard_Page.user_select_profile_type","Google Chrome","2025-12-18","failed","2025-12-18","CMS_Dashboard_Page.user_select_loan_type","Keyword_Driven\driverscript.spec.ts","",""
"","102401","[TC_05_Vehicle_Loan_Salaried_Guarantor_Details_Page] - Vehicle_Loan_Salaried_Guarantor_Details_Page - tag@SGD_Vehicle_Loan_Salaried_Guarantor_Details_Page","Google Chrome","2025-12-18","failed","2025-12-18","Vehicle_Loan_Salaried_Guarantor_Details_Page","Keyword_Driven\driverscript.spec.ts","",""
"","135968","[TC_2] - Login_Page - tag @Credit_flow","Google Chrome","2025-12-18","failed","2025-12-18","PersonalLoan Application","Keyword_Driven\driverscript.spec.ts","",""
"","67034","[Loan_Application_Tab_Page.user_clicks_emp_details_add_data_btn] - Loan_Application_Tab_Page.user_enters_name_of_firm_field,NewVision - Loan_Application_Tab_Page.user_select_designation_in_the_organization","Google Chrome","2025-12-18","failed","2025-12-18","Loan_Application_Tab_Page.user_enters_address_of_firm_field,Pune","Keyword_Driven\driverscript.spec.ts","",""
"","68042","[Loan_Application_Tab_Page.user_click_Add_data_in_Charge_details] - Loan_Application_Tab_Page.user_enters_Cibil_Charges_in_Charge_Details,4000 - Loan_Application_Tab_Page.user_enters_txt_Valuation_Charges_in_Charge_Details,2000","Google Chrome","2025-12-18","failed","2025-12-18","Loan_Application_Tab_Page.user_enters_Processing_Fee_in_Charge_Details,20000","Keyword_Driven\driverscript.spec.ts","",""
"","136115","[TC_1] - Login_Page - tag @Loan_application","Google Chrome","2025-12-18","failed","2025-12-18","Loan Application","Keyword_Driven\driverscript.spec.ts","",""
"","67522","[Loan_Application_Tab_Page.user_click_agriculture_income_verify_btn] - Loan_Application_Tab_Page.user_click_other_income_details_add_data_btn - Loan_Application_Tab_Page.user_click_income_details_year_field_btn","Google Chrome","2025-12-18","failed","2025-12-18","Loan_Application_Tab_Page.user_click_income_details_add_line_btn","Keyword_Driven\driverscript.spec.ts","",""
"","1041","[Credit_Decisioning_Page.user_enter_customer_name_in_kyc_and_due_diligence,Anjali Mahajan] - Credit_Decisioning_Page.user_enter_borrowers_address_in_kyc_and_due_diligence,ABC Magarpatta pune - Credit_Decisioning_Page.user_enter_gender_in_kyc_and_due_diligence,female","Google Chrome","2025-12-18","failed","2025-12-18","Credit_Decisioning_Page.user_enter_current_address_in_kyc_and_due_diligence,Abc","Keyword_Driven\driverscript.spec.ts","",""
"","70599","[TC_1_Vehicle_Loan] - Login_Page - tag@Vehicle_Loan_Application","Google Chrome","2025-12-18","failed","2025-12-18","Vehicle Loan Application","Keyword_Driven\driverscript.spec.ts","",""
"","67727","[Loan_Application_Tab_Page.user_clicks_add_data_for_Membership_Details] - Loan_Application_Tab_Page.user_enters_Membership_number_in_Membership_Details,00023 - Loan_Application_Tab_Page.user_enters_shares_from_in_Membership_Details,11/08/2025","Google Chrome","2025-12-18","failed","2025-12-18","Loan_Application_Tab_Page.user_enters_Name_of_shares_Membership_Details,200","Keyword_Driven\driverscript.spec.ts","",""
"","135171","[Credit_Decisioning_Page.user_verify_Security_Valuein_primary_security_details] - Credit_Decisioning_Page.user_verify_Loan_to_Value_in_primary_security_details - Credit_Decisioning_Page.user_verify_Security_Description_in_primary_security_details","Google Chrome","2025-12-18","failed","2025-12-18","Credit_Decisioning_Page.user_verify_Amount_to_be_Considered_in_primary_security_details","Keyword_Driven\driverscript.spec.ts","",""
